source,cond,up1_rho_kgm3,feed_T_C,feed_P_atm,colloid_water_kgm3,deficit_kgm3,free_monomer_ppm
chain,up3_1,1117.9,25,1,1112.0,-5.9,-13.7
chain,up3_2,1119.1,25,1,1112.0,-7.1,-16.5
chain,up3_3,1119.1,25,1,1112.0,-7.1,-16.5
chain,up3_4,1119.1,25,1,1112.0,-7.1,-16.5
historical,2022-10-20 17:08,1116.4,25,1,1112.0,-4.4,-10.2
historical,2022-10-21 13:23,1118.0,25,1,1112.0,-6.0,-13.9
historical,2022-10-21 13:45,1118.0,25,1,1112.0,-6.0,-13.9
historical,2022-10-21 15:05,1118.0,25,1,1112.0,-6.0,-13.9
historical,2022-10-21 15:30,1118.0,25,1,1112.0,-6.0,-13.9
historical,2022-10-21 16:00,1115.3,25,1,1112.0,-3.3,-7.7
historical,2022-11-01 09:05,1120.6,25,1,1112.0,-8.7,-19.9
historical,2022-11-01 09:29,1120.8,25,1,1112.0,-8.9,-20.4
historical,2022-11-01 10:00,1121.1,25,1,1112.0,-9.1,-21.0
historical,2022-11-01 10:36,1121.4,25,1,1112.0,-9.4,-21.7
historical,2022-11-01 11:19,1121.7,25,1,1112.0,-9.7,-22.3
historical,2022-11-01 11:50,1121.6,25,1,1112.0,-9.7,-22.3
historical,2022-11-01 12:17,1121.5,25,1,1112.0,-9.6,-22.0
historical,2022-11-01 13:45,1117.6,25,1,1112.0,-5.7,-13.1
historical,2022-11-01 14:17,1112.6,25,1,1112.0,-0.6,-1.4
historical,2022-11-01 14:43,1115.1,25,1,1112.0,-3.2,-7.4
historical,2022-11-01 15:50,1084.9,25,1,1112.0,+27.0,+64.2
historical,2022-11-07 14:42,1118.2,25,1,1112.0,-6.3,-14.4
historical,2022-11-07 15:02,1096.1,25,1,1112.0,+15.9,+37.3
historical,2022-11-08 11:18,1120.2,25,1,1112.0,-8.2,-19.0
historical,2022-11-08 12:37,1121.8,25,1,1112.0,-9.8,-22.5
historical,2022-11-08 13:47,1122.1,25,1,1112.0,-10.2,-23.4
historical,2022-12-02 13:01,1118.6,25,1,1112.0,-6.6,-15.3
historical,2022-12-02 13:45,1118.3,25,1,1112.0,-6.3,-14.6
historical,2022-12-02 14:42,1117.8,25,1,1112.0,-5.9,-13.6
historical,2022-12-02 15:42,1116.5,25,1,1112.0,-4.5,-10.4
historical,2022-12-02 16:00,1115.9,25,1,1112.0,-3.9,-9.0
historical,2022-12-02 16:25,1089.8,25,1,1112.0,+22.1,+52.4
