sample,cond,n_part,Omega_SEM,aspect_SEM,porosity_pct,porosity_surf_pct,skin_pct,granular_pct
109384,,218,0.896,0.752,32.2,27.0,2.8,83.8
110041,,137,0.857,0.7,36.6,26.3,13.4,71.9
110042,,115,0.857,0.706,35.6,28.7,2.7,80.6
110043,,138,0.871,0.731,35.2,27.7,4.8,78.8
110044,,145,0.857,0.703,37.9,27.7,7.3,73.2
110045,,236,0.84,0.699,37.0,28.5,11.1,77.1
110046,,166,0.87,0.724,37.4,6.7,35.1,17.9
110047,,234,0.841,0.701,39.7,31.1,6.3,78.3
110048,,147,0.859,0.701,37.5,30.2,4.6,80.5
110049,,157,0.84,0.679,34.3,27.0,2.9,78.5
110494,,147,0.862,0.713,35.9,27.7,4.3,76.9
110495,,202,0.87,0.717,38.9,10.4,29.7,26.8
114641,up3_1,253,0.906,0.751,37.4,27.2,6.1,72.8
114642,up3_2,291,0.921,0.81,38.2,26.3,8.9,68.8
114643,up3_3,222,0.915,0.807,36.8,26.7,5.4,72.6
114644,up3_4,244,0.912,0.8,37.4,26.1,10.5,70.1
