cond,step_time,viscosity_PaS,stress_Pa,shear_rate_1s,temp_C
up3_1,15.0003,324.723,103.343,0.318249,24.9
up3_1,30.0003,242.696,122.416,0.504401,24.92
up3_1,45.0003,176.326,140.959,0.799423,24.92
up3_1,60.0003,126.204,159.893,1.26694,24.94
up3_1,75.0003,81.5131,163.673,2.00794,24.95
up3_1,90.0003,42.929,136.614,3.18234,24.96
up3_1,105,28.3285,142.876,5.04354,24.99
up3_1,120,18.3623,146.773,7.99318,25.01
up3_1,135,11.9929,151.936,12.6688,25.01
up3_1,150,8.09662,162.564,20.078,25.02
up3_1,165,5.56537,177.094,31.8207,25.03
up3_1,180,3.87431,195.392,50.4325,25.04
up3_1,195,2.57347,205.706,79.9332,25.04
up3_1,210,1.77265,224.569,126.685,25.04
up3_1,225,1.16162,233.23,200.78,25.05
up3_1,240,0.475146,151.2,318.218,25.05
up3_1,255,0.211612,106.724,504.339,25.04
up3_1,270,0.174348,139.36,799.317,25.04
up3_1,285,0.148849,188.568,1266.84,25.02
up3_1,300,0.0948091,179.115,1889.22,25.03
up3_2,15.0003,638.485,203.245,0.318323,24.76
up3_2,30.0003,448.197,226.13,0.504532,24.83
up3_2,45.0003,316.945,253.448,0.799659,24.91
up3_2,60.0003,226.597,287.171,1.26732,24.97
up3_2,75.0003,156.527,314.387,2.00852,25.05
up3_2,90.0003,80.0644,254.888,3.18354,25.08
up3_2,105,43.1747,217.822,5.04514,25.13
up3_2,120,29.4066,235.14,7.99616,25.15
up3_2,135,18.8379,238.721,12.6724,25.16
up3_2,150,12.2933,246.902,20.0844,25.17
up3_2,165,8.23736,262.204,31.8311,25.16
up3_2,180,5.49106,277.031,50.4512,25.15
up3_2,195,3.76427,300.989,79.9595,25.13
up3_2,210,2.58968,328.192,126.731,25.11
up3_2,225,1.58032,317.379,200.832,25.09
up3_2,240,0.847902,269.912,318.329,25.05
up3_2,255,0.313448,158.13,504.485,25.04
up3_2,270,0.0891077,71.2456,799.544,25.03
up3_2,285,0.0245063,31.053,1267.14,25.01
up3_2,300,0.00418125,7.90123,1889.68,24.99
up3_3,15.0003,324.723,103.343,0.318249,24.9
up3_3,30.0003,242.696,122.416,0.504401,24.92
up3_3,45.0003,176.326,140.959,0.799423,24.92
up3_3,60.0003,126.204,159.893,1.26694,24.94
up3_3,75.0003,81.5131,163.673,2.00794,24.95
up3_3,90.0003,42.929,136.614,3.18234,24.96
up3_3,105,28.3285,142.876,5.04354,24.99
up3_3,120,18.3623,146.773,7.99318,25.01
up3_3,135,11.9929,151.936,12.6688,25.01
up3_3,150,8.09662,162.564,20.078,25.02
up3_3,165,5.56537,177.094,31.8207,25.03
up3_3,180,3.87431,195.392,50.4325,25.04
up3_3,195,2.57347,205.706,79.9332,25.04
up3_3,210,1.77265,224.569,126.685,25.04
up3_3,225,1.16162,233.23,200.78,25.05
up3_3,240,0.475146,151.2,318.218,25.05
up3_3,255,0.211612,106.724,504.339,25.04
up3_3,270,0.174348,139.36,799.317,25.04
up3_3,285,0.148849,188.568,1266.84,25.02
up3_3,300,0.0948091,179.115,1889.22,25.03
up3_4,15.0003,789.599,251.245,0.318193,24.97
up3_4,30.0003,621.602,313.499,0.50434,25
up3_4,45.0003,467.319,373.555,0.799357,25.01
up3_4,60.0003,333.833,422.926,1.26688,25.04
up3_4,75.0003,216.907,435.479,2.00768,25.05
up3_4,90.0003,127.278,404.965,3.18174,25.06
up3_4,105,70.388,354.92,5.04234,25.06
up3_4,120,43.2279,345.446,7.99128,25.06
up3_4,135,26.7968,339.375,12.6648,25.06
up3_4,150,16.929,339.796,20.0718,25.05
up3_4,165,11.0583,351.775,31.8109,25.05
up3_4,180,7.52758,379.535,50.4192,25.04
up3_4,195,5.07691,405.677,79.9063,25.03
up3_4,210,3.61342,457.644,126.651,25.03
up3_4,225,2.76172,554.357,200.729,25.02
up3_4,240,1.83019,582.182,318.099,25.02
up3_4,255,0.888319,447.831,504.133,25.01
up3_4,270,0.33326,266.271,798.988,25.01
up3_4,285,0.0302171,38.2638,1266.3,25.01
up3_4,300,0.0038198,7.21339,1888.42,25
