"feature","factor","stage","mu.star","sigma","n_na"
"porosity","up1.v_tip","up1",0.0434763324584859,0.0253585788498187,0
"porosity","up1.tau_mix","up1",0.0043179437751834,0.00653014606136816,0
"porosity","up1.P_mix","up1",0.000382884599539376,0.000738452408356498,0
"porosity","up1.T_mix","up1",0.0269625135989181,0.0341578332696395,0
"porosity","up1.C_gas_diss_temp","up1",5.31955359990339e-05,9.3626732573155e-05,0
"porosity","up1.Q_gas","up1",0.00235937362016165,0.00366916570204029,0
"porosity","up1.Q_colloid","up1",0.0108004208094424,0.00946135178291747,0
"porosity","up1.Q_template","up1",0.020617696379392,0.0142871474721597,0
"porosity","up1.C_solid_mass","up1",0.0536189509319937,0.039835559582392,1
"porosity","up1.C_temp_mass","up1",9.77415486510166e-15,2.94314675642112e-14,0
"porosity","up1.D_particle","up1",7.35355610221219e-05,0.000127148658231785,1
"porosity","up1.D_template","up1",0.000132382010034851,0.000235250197946323,1
"porosity","up1.C_binder","up1",0.0264142390215023,0.0291875782411588,0
"porosity","up1.C_monomer","up1",0.0241949487973494,0.022980498206934,0
"porosity","up1.C_plasticizer","up1",0.0180895978107358,0.0126514061615439,0
"porosity","up1.C_surfactant","up1",0.00786902486354678,0.011651004996282,1
"porosity","up1.CMC","up1",0.000187106385644499,0.000497740978926088,0
"porosity","up1.HLB","up1",0.000926921346700236,0.00189563176741785,1
"porosity","up1.MW_surfactant","up1",0.000108424975772069,0.000172108381706867,1
"porosity","up1.A_molecule","up1",8.57902040211772e-05,0.000271700376791988,0
"porosity","up1.D_surf","up1",3.62571730087308e-07,9.54802606197197e-07,0
"porosity","up1.ionic_strength","up1",0.00314381130223493,0.00426315954344253,1
"porosity","up1.Delta_pH","up1",0.00773118552855463,0.0072000306987792,1
"porosity","up1.template_dose","up1",0.0689095868767765,0.048844596735306,0
"porosity","up2.K_coal","up2",2.66428973760991e-05,6.96840276112309e-05,0
"porosity","up2.K_break","up2",1.31528813460511e-07,4.23745826037228e-07,1
"porosity","up2.K_burst","up2",0.00032152121921511,0.001063773521724,0
"porosity","up2.d_b_burst","up2",1.71894112246085e-05,5.93707735881531e-05,0
"porosity","up2.frac_gas_coarse_ref","up2",0.00307245097017343,0.00854063378185619,1
"porosity","up3.rpm","up3",0.00218236880730908,0.00395240319825756,0
"porosity","up3.delta_rpm","up3",0.00586565424528764,0.00705821607921483,1
"porosity","up3.r_pool","up3",0.00664410775551551,0.00928393448422031,0
"porosity","up3.flow_rate_lpm","up3",0.00125086458879907,0.00167195815606676,0
"porosity","up3.pop_frac","up3",0.00126262278864344,0.0020406146383583,0
"porosity","up3.gas_sat_frac","up3",0.000217593720107556,0.00022843190250202,0
"porosity","up3.t_recover_sec","up3",3.97241589340618e-10,1.37601092944742e-09,0
"porosity","up3.contact_angle_deg","up3",0.00518142336112624,0.0151183029733344,0
"porosity","up3.chi_parameter","up3",0.00380879701966873,0.00701357997379061,1
"porosity","up3.S_base","up3",0.0288232286985523,0.0242611195855703,1
"porosity","up3.S_ceiling","up3",0.0051252742354204,0.00593934769459308,1
"porosity","up4.ALR","up4",0.00490606907883437,0.00673962763647351,0
"porosity","up4.P_system","up4",0.00109720888198627,0.00231528892183027,0
"porosity","up4.P_feed","up4",0.00135037262332485,0.00156775604616307,0
"porosity","up4.mdot_L","up4",0.0416901705461711,0.0490651282308726,1
"porosity","up4.T_system","up4",0.118226706347507,0.103075490564962,1
"porosity","up4.mdot_gas_dry","up4",0.0389336649088688,0.0535135756540803,1
"porosity","up4.Y_in","up4",0.000993388038215495,0.00176280655345234,0
"porosity","up4.t_hold","up4",0.000370268957658757,0.000710899963987848,0
"porosity","up4.Tg_polymer","up4",0.0222115668083018,0.0351232899832783,0
"porosity","up4.n_flow","up4",0.0123795240784038,0.0271854631639784,0
"porosity","up4.k_perm_mono","up4",0.0120797313512071,0.0151707195793682,0
"porosity","up4.k_perm_plast","up4",0.0154092826612893,0.0186537664058643,1
"porosity","up4.k_perm_bind","up4",0.0198926847663371,0.0232219198380332,1
"porosity","up4.T_bp_solv","up4",0.0334665314302231,0.039134760131766,0
"sphericity","up1.v_tip","up1",0.0262954333061114,0.0269678593785626,0
"sphericity","up1.tau_mix","up1",0.00182275462278278,0.00259299545088453,0
"sphericity","up1.P_mix","up1",0.000226559568027027,0.000420302975940609,0
"sphericity","up1.T_mix","up1",0.0602927110980064,0.0671292165658247,0
"sphericity","up1.C_gas_diss_temp","up1",6.10613383098674e-06,1.14331415872106e-05,0
"sphericity","up1.Q_gas","up1",0.00162784560316779,0.00298873476038346,0
"sphericity","up1.Q_colloid","up1",0.00596351666084771,0.00862426634910695,0
"sphericity","up1.Q_template","up1",0.0106587819265305,0.017396939116922,0
"sphericity","up1.C_solid_mass","up1",0.0164871375351611,0.0216005508690429,1
"sphericity","up1.C_temp_mass","up1",1.2013538312298e-14,4.03465801533011e-14,0
"sphericity","up1.D_particle","up1",9.40911120345616e-06,1.61362934571074e-05,1
"sphericity","up1.D_template","up1",0.000175768189287641,0.000140817396497072,1
"sphericity","up1.C_binder","up1",0.0418492588019491,0.044666376580471,0
"sphericity","up1.C_monomer","up1",0.0119092537628131,0.0128037930593752,0
"sphericity","up1.C_plasticizer","up1",0.011234326136514,0.0143037734521836,0
"sphericity","up1.C_surfactant","up1",0.0108987161413874,0.0123129334666799,1
"sphericity","up1.CMC","up1",9.79757878969307e-05,0.000297756149430647,0
"sphericity","up1.HLB","up1",0.00169502188742338,0.00528120709857959,1
"sphericity","up1.MW_surfactant","up1",2.35206868237838e-05,4.66001211935573e-05,1
"sphericity","up1.A_molecule","up1",2.26390021967291e-05,5.81901139680061e-05,0
"sphericity","up1.D_surf","up1",1.72093582879544e-07,5.19512748401121e-07,0
"sphericity","up1.ionic_strength","up1",0.00669992087958185,0.00539568274998085,1
"sphericity","up1.Delta_pH","up1",0.00933120885160413,0.00387089826815337,1
"sphericity","up1.template_dose","up1",0.0271472427182767,0.0405512363747582,0
"sphericity","up2.K_coal","up2",8.23991532612293e-06,2.20408166396225e-05,0
"sphericity","up2.K_break","up2",1.95307572589423e-08,6.37738569836824e-08,1
"sphericity","up2.K_burst","up2",0.000480741257763308,0.00165873925231695,0
"sphericity","up2.d_b_burst","up2",2.43130989402892e-06,8.37800927141857e-06,0
"sphericity","up2.frac_gas_coarse_ref","up2",0.0015636110446361,0.00440888436908994,1
"sphericity","up3.rpm","up3",0.00115865587216343,0.00287315654536466,0
"sphericity","up3.delta_rpm","up3",0.00310316602761033,0.00482650331088911,1
"sphericity","up3.r_pool","up3",0.00714196629117198,0.0124532485524358,0
"sphericity","up3.flow_rate_lpm","up3",0.00109821248010994,0.00217755970990021,0
"sphericity","up3.pop_frac","up3",0.000183001555238892,0.00034030549363526,0
"sphericity","up3.gas_sat_frac","up3",0.000262070315595476,0.000330839644296321,0
"sphericity","up3.t_recover_sec","up3",2.12799948958361e-10,7.37099026280848e-10,0
"sphericity","up3.contact_angle_deg","up3",0.00221375030201057,0.00685916383956843,0
"sphericity","up3.chi_parameter","up3",0.00142293908383091,0.00194940649261631,1
"sphericity","up3.S_base","up3",0.0346340796392796,0.0415829511256887,1
"sphericity","up3.S_ceiling","up3",0.00548058446699489,0.00671943479520503,1
"sphericity","up4.ALR","up4",0.00153244645075791,0.00266613487178818,0
"sphericity","up4.P_system","up4",0.000808623899572841,0.00211013492259327,0
"sphericity","up4.P_feed","up4",6.71475040030511e-05,0.000142363723300522,0
"sphericity","up4.mdot_L","up4",0.0683663534531911,0.0564927306858169,1
"sphericity","up4.T_system","up4",0.143669788921823,0.0788364593172724,1
"sphericity","up4.mdot_gas_dry","up4",0.0663038926608661,0.083617410143902,1
