"output","group","factor","mu","mu.star","sigma"
"Intact_Template_Yield","process","rpm",-0.0160964491228638,0.0641432552336032,0.0939831029211551
"Intact_Template_Yield","process","delta_rpm",0,0,0
"Intact_Template_Yield","process","r_pool",-0.00622029270384703,0.0103468349228766,0.0192184215026629
"Intact_Template_Yield","process","flow_rate_lpm",-0.0325361743701009,0.0325361743701009,0.0334966971322866
"Intact_Template_Yield","process","feed_solid_frac",-0.0155079685059853,0.0724462425928124,0.120907670337736
"Intact_Template_Yield","process","feed_gas_frac",-0.0038802720648961,0.017889203546778,0.0239960324764983
"Intact_Template_Yield","process","pop_frac",-0.000485804106325919,0.000489354226595247,0.00090883041054348
"Intact_Template_Yield","process","T_process",0.0180693903918995,0.0180735646329303,0.0289107502021675
"Intact_Template_Yield","process","P_feed",0,0,0
"Intact_Template_Yield","process","gas_sat_frac",0,0,0
"Intact_Template_Yield","process","D_b",0.000123076149390792,0.000201330458370822,0.000357630644151772
"Intact_Template_Yield","surface","HLB_value",0.00148740829540547,0.00198839622645455,0.00375234290433281
"Intact_Template_Yield","surface","surf_dose_kg_m3",0,0,0
"Intact_Template_Yield","surface","t_recover_sec",-3.84084859143356e-06,3.84084859143356e-06,1.23049202459825e-05
"Intact_Template_Yield","surface","I_strength",-0.000389473099068553,0.000389641862557366,0.000790944215885572
"Intact_Template_Yield","surface","Delta_pH",0.000265024122172752,0.000265056974153606,0.000478871327316971
"Intact_Template_Yield","surface","contact_angle_deg",-0.00138255894896153,0.0017931467053214,0.00412596441842117
"Intact_Template_Yield","additive","plasticizer_frac",0.0273137369200909,0.0273137369200909,0.0318183056459149
"Intact_Template_Yield","additive","C_monomer",0,0,0
"Intact_Template_Yield","additive","C_binder",0.00426980531928708,0.00426980531928708,0.0114228553747877
"Intact_Template_Yield","additive","chi_parameter",0,0,0
"Intact_Template_Yield","additive","S_base",0,0,0
"Intact_Template_Yield","additive","S_ceiling",0,0,0
"Aggregate_Survival","process","rpm",-0.0424718898752691,0.0424718898752691,0.0605911583085553
"Aggregate_Survival","process","delta_rpm",0,0,0
"Aggregate_Survival","process","r_pool",-0.00848519575659397,0.00848519575659397,0.0177791248551873
"Aggregate_Survival","process","flow_rate_lpm",-0.00790268698563767,0.00790268698563767,0.0217855997742448
"Aggregate_Survival","process","feed_solid_frac",0.0384277585770063,0.0384277585770063,0.0510554346990844
"Aggregate_Survival","process","feed_gas_frac",0.00715469451573977,0.00715469451573977,0.0124953389624622
"Aggregate_Survival","process","pop_frac",-0.000130911893987891,0.000130911893987891,0.000377716973325515
"Aggregate_Survival","process","T_process",-1.32449412061956e-05,1.32449412061956e-05,4.05106040585768e-05
"Aggregate_Survival","process","P_feed",0,0,0
"Aggregate_Survival","process","gas_sat_frac",0,0,0
"Aggregate_Survival","process","D_b",0.000154766445417505,0.000172340925995096,0.000333466027280074
"Aggregate_Survival","surface","HLB_value",0.0017518563049371,0.0017518563049371,0.00355578497558281
"Aggregate_Survival","surface","surf_dose_kg_m3",0,0,0
"Aggregate_Survival","surface","t_recover_sec",-3.84092757240347e-06,3.84092757240347e-06,1.23049583029175e-05
"Aggregate_Survival","surface","I_strength",-0.000365345197230068,0.000365345197230068,0.000799503223714396
"Aggregate_Survival","surface","Delta_pH",0.000233788465194151,0.000233788465194151,0.000478466757115921
"Aggregate_Survival","surface","contact_angle_deg",-9.43001937830257e-05,0.000167917134703262,0.000527621439519966
"Aggregate_Survival","additive","plasticizer_frac",0.00896797327592114,0.00896797327592114,0.0236239761389319
"Aggregate_Survival","additive","C_monomer",0,0,0
"Aggregate_Survival","additive","C_binder",0.0042639830684756,0.0042639830684756,0.0114252497461963
"Aggregate_Survival","additive","chi_parameter",0,0,0
"Aggregate_Survival","additive","S_base",0,0,0
"Aggregate_Survival","additive","S_ceiling",0,0,0
"Aggregate_Destruction","process","rpm",0.0424718898752691,0.0424718898752691,0.0605911583085553
"Aggregate_Destruction","process","delta_rpm",0,0,0
"Aggregate_Destruction","process","r_pool",0.00848519575659397,0.00848519575659397,0.0177791248551873
"Aggregate_Destruction","process","flow_rate_lpm",0.00790268698563767,0.00790268698563767,0.0217855997742448
"Aggregate_Destruction","process","feed_solid_frac",-0.0384277585770063,0.0384277585770063,0.0510554346990844
"Aggregate_Destruction","process","feed_gas_frac",-0.00715469451573977,0.00715469451573977,0.0124953389624622
"Aggregate_Destruction","process","pop_frac",0.000130911893987891,0.000130911893987891,0.000377716973325515
"Aggregate_Destruction","process","T_process",1.32449412061956e-05,1.32449412061956e-05,4.05106040585768e-05
"Aggregate_Destruction","process","P_feed",0,0,0
"Aggregate_Destruction","process","gas_sat_frac",0,0,0
"Aggregate_Destruction","process","D_b",-0.000154766445417505,0.000172340925995096,0.000333466027280074
"Aggregate_Destruction","surface","HLB_value",-0.0017518563049371,0.0017518563049371,0.00355578497558281
"Aggregate_Destruction","surface","surf_dose_kg_m3",0,0,0
"Aggregate_Destruction","surface","t_recover_sec",3.84092757240347e-06,3.84092757240347e-06,1.23049583029175e-05
"Aggregate_Destruction","surface","I_strength",0.000365345197230068,0.000365345197230068,0.000799503223714396
