"output","factor","mu","mu.star","sigma"
"d_droplet_um","ALR",-8.78743975592321,8.78743975592321,4.59850861235952
"d_droplet_um","P_system",-22.8557772011713,22.8557772011713,15.0991858401418
"d_droplet_um","P_feed",-13.7735812927085,13.7735812927085,7.18521095518633
"d_droplet_um","mdot_L",1.42348357812085,1.42348357812085,1.04122872352104
"d_droplet_um","sigma",11.1579968067435,11.1579968067435,8.17497835641454
"d_droplet_um","mu_L",3.47320398772303,3.47320398772303,9.08536606096362
"d_droplet_um","rho_L",-0.629338128124204,1.11624967528996,1.20777030681453
"d_droplet_um","alpha_g_0",-22.167432502372,22.167432502372,10.0846896407476
"d_droplet_um","D_b",0.0886132280336226,0.147803194740283,0.207616759463181
"d_droplet_um","C_solid_mass",3.93874445777775,3.93874445777775,4.03783438393276
"d_droplet_um","T_system",0,0,0
"d_droplet_um","mdot_gas_dry",0,0,0
"d_droplet_um","Y_in",0,0,0
"d_droplet_um","T_feed",-11.2015380084313,11.2015380084313,14.5893163620116
"d_droplet_um","t_hold",0.231852294721595,0.231852294721595,0.174685571264942
"d_droplet_um","C_monomer",0,0,0
"d_droplet_um","C_plasticizer",0,0,0
"d_droplet_um","C_binder",0.441194620843147,0.441194620843147,1.56472376700398
"d_droplet_um","C_surfactant",-15.3362272762909,15.3362272762909,5.81983996136048
"d_droplet_um","Delta_pH",0,0,0
"d_droplet_um","I_strength",0,0,0
"d_droplet_um","Tg_polymer",0,0,0
"d_droplet_um","n_flow",1.82615570774159,1.82615570774159,4.26070727149317
"d_droplet_um","k_perm_mono",0,0,0
"d_droplet_um","k_perm_plast",0,0,0
"d_droplet_um","k_perm_bind",0,0,0
"d_droplet_um","phi_emulsion",-3.09056843313148,5.15414147868765,7.75124317528157
"d_droplet_um","D_template",-0.819216333005447,0.819216333005447,1.08066012364277
"d_droplet_um","T_bp_solv",10.0215841516194,10.0215841516194,13.6602262903848
"d10_um","ALR",-2.04281616617463,2.04281616617463,1.15945322897966
"d10_um","P_system",-5.60180487713774,5.60180487713774,3.97541079627039
"d10_um","P_feed",-3.70619705960657,3.70619705960657,2.03681864686089
"d10_um","mdot_L",0.353304762713431,0.353304762713431,0.271383854080729
"d10_um","sigma",3.08374004634097,3.08374004634097,2.35373440069839
"d10_um","mu_L",0.681429694472437,0.681429694472437,1.8567482855799
"d10_um","rho_L",-0.169911516025354,0.249243043662053,0.254534767960273
"d10_um","alpha_g_0",-6.64022678578803,6.64022678578803,3.23028070984718
"d10_um","D_b",0.257555577654704,0.264338779564259,0.344766817600352
"d10_um","C_solid_mass",1.06067991293124,1.06067991293124,1.05798280001892
"d10_um","T_system",0,0,0
"d10_um","mdot_gas_dry",0,0,0
"d10_um","Y_in",0,0,0
"d10_um","T_feed",-3.71995711627648,3.71995711627648,5.30098681176084
"d10_um","t_hold",0.434775369729364,0.434775369729364,0.340816479035019
"d10_um","C_monomer",0,0,0
"d10_um","C_plasticizer",0,0,0
"d10_um","C_binder",0.0815565572164904,0.0815565572164904,0.296108945828176
"d10_um","C_surfactant",-4.64480555050822,4.64480555050822,1.95405955109861
"d10_um","Delta_pH",0,0,0
"d10_um","I_strength",0,0,0
"d10_um","Tg_polymer",0,0,0
"d10_um","n_flow",0.319035184915274,0.319035184915274,0.72317863600305
"d10_um","k_perm_mono",0,0,0
"d10_um","k_perm_plast",0,0,0
"d10_um","k_perm_bind",0,0,0
"d10_um","phi_emulsion",-1.30647633610538,1.69463733450635,2.40750680031516
"d10_um","D_template",-0.254587394141912,0.254587394141912,0.331695211842461
"d10_um","T_bp_solv",3.50551942697323,3.50551942697323,5.06171615331307
"d90_um","ALR",-15.0850507011151,15.0850507011151,7.84922752692697
"d90_um","P_system",-47.2350166317102,47.2350166317102,31.441254792589
"d90_um","P_feed",-36.776382812656,36.776382812656,17.3190098390853
"d90_um","mdot_L",2.93572192050468,2.93572192050468,2.15254649819673
"d90_um","sigma",29.7464644756344,29.7464644756344,19.6465040100052
"d90_um","mu_L",6.83875231549461,6.83875231549461,18.6640909533569
"d90_um","rho_L",-1.44631057497924,2.27056439753915,2.2287850450261
"d90_um","alpha_g_0",-61.0170762018828,61.0170762018828,26.9945710527806
"d90_um","D_b",-0.140663272502726,0.157077573623063,0.245304411405336
"d90_um","C_solid_mass",9.73140364328044,9.73140364328044,9.86733978625087
"d90_um","T_system",0,0,0
"d90_um","mdot_gas_dry",0,0,0
"d90_um","Y_in",0,0,0
"d90_um","T_feed",-25.5966583231601,25.5966583231601,34.4304075993608
"d90_um","t_hold",0.0363050753632377,0.0363050753632377,0.0276856555375119
"d90_um","C_monomer",0,0,0
"d90_um","C_plasticizer",0,0,0
"d90_um","C_binder",0.84988861907298,0.84988861907298,2.92567870530261
"d90_um","C_surfactant",-42.2069316795234,42.2069316795234,15.1073106292844
"d90_um","Delta_pH",0,0,0
"d90_um","I_strength",0,0,0
"d90_um","Tg_polymer",0,0,0
"d90_um","n_flow",3.71619972690701,3.71619972690701,8.49429694097622
"d90_um","k_perm_mono",0,0,0
"d90_um","k_perm_plast",0,0,0
"d90_um","k_perm_bind",0,0,0
"d90_um","phi_emulsion",-8.48599200343972,12.2270348170693,17.4920429452885
"d90_um","D_template",-2.25824423399714,2.25824423399714,3.03311674299396
"d90_um","T_bp_solv",25.0486214945534,25.0486214945534,32.7809555036628
"d99_um","ALR",-22.2072336649478,22.2072336649478,11.9388754502992
"d99_um","P_system",-74.2522248222306,74.2522248222306,50.0931398122429
"d99_um","P_feed",-61.7280723395638,61.7280723395638,28.4813351522497
"d99_um","mdot_L",4.62029101709147,4.62029101709147,3.44192541685449
"d99_um","sigma",49.9270343545991,49.9270343545991,32.2942740799428
"d99_um","mu_L",10.5726602984684,10.5726602984684,29.154802875791
"d99_um","rho_L",-2.324629560222,3.55556055855266,3.44466881945897
"d99_um","alpha_g_0",-103.324450233085,103.324450233085,45.3890117278283
"d99_um","D_b",-0.256342781665455,0.269109559906528,0.409810216503825
"d99_um","C_solid_mass",16.126523189401,16.126523189401,16.4965175381329
"d99_um","T_system",0,0,0
"d99_um","mdot_gas_dry",0,0,0
"d99_um","Y_in",0,0,0
"d99_um","T_feed",-41.8655419185172,41.8655419185172,56.9727356741515
"d99_um","t_hold",0.031451255309526,0.031451255309526,0.0237281203362794
"d99_um","C_monomer",0,0,0
"d99_um","C_plasticizer",0,0,0
"d99_um","C_binder",1.30832337593422,1.30832337593422,4.50279557964312
"d99_um","C_surfactant",-71.4829409094514,71.4829409094514,25.3072074767954
"d99_um","Delta_pH",0,0,0
"d99_um","I_strength",0,0,0
"d99_um","Tg_polymer",0,0,0
"d99_um","n_flow",5.71516565975929,5.71516565975929,13.0257327403794
"d99_um","k_perm_mono",0,0,0
"d99_um","k_perm_plast",0,0,0
"d99_um","k_perm_bind",0,0,0
"d99_um","phi_emulsion",-14.6402391362858,20.3543219018923,28.8699539802515
"d99_um","D_template",-3.83250812548582,3.83250812548582,5.1728469692458
"d99_um","T_bp_solv",42.0786955404319,42.0786955404319,54.6441485307848
"span","ALR",0.256235758908157,0.256235758908157,0.0579767950482822
"span","P_system",0.424388537495833,0.424388537495833,0.0971742509342256
"span","P_feed",-0.0361475230449536,0.055361028626366,0.0642294589289839
"span","mdot_L",-0.0238189125189715,0.0238189125189715,0.00541165034245587
"span","sigma",0.0227666114890309,0.0227666114890309,0.0219567510093093
"span","mu_L",-0.0746285214123032,0.0746285214123032,0.154367755971201
"span","rho_L",0.00659541791884788,0.0235645345641227,0.0329878976818683
"span","alpha_g_0",-0.0714491906701774,0.104643980089288,0.151229887400598
"span","D_b",-0.0225613758792062,0.0225613758792062,0.0260802640470407
"span","C_solid_mass",-0.0338001982247905,0.0476621966605999,0.10427095092097
"span","T_system",0,0,0
"span","mdot_gas_dry",0,0,0
"span","Y_in",0,0,0
"span","T_feed",0.146815959311271,0.146815959311271,0.138185249812088
"span","t_hold",-0.0360001288867412,0.0360001288867412,0.0326465480894288
"span","C_monomer",0,0,0
"span","C_plasticizer",0,0,0
"span","C_binder",-0.0103814821974723,0.0103814821974723,0.0313629450911839
"span","C_surfactant",-0.0460867895360281,0.0858269394453998,0.124335547444191
"span","Delta_pH",0,0,0
"span","I_strength",0,0,0
"span","Tg_polymer",0,0,0
"span","n_flow",-0.0599210934410582,0.0599210934410582,0.162073686309706
"span","k_perm_mono",0,0,0
"span","k_perm_plast",0,0,0
"span","k_perm_bind",0,0,0
"span","phi_emulsion",0.0687865644917274,0.114623994489083,0.193086913750388
"span","D_template",-0.00382970072645679,0.00517216332919001,0.011793403620441
"span","T_bp_solv",-0.182041513085014,0.182041513085014,0.253542966192421
"BI_bimodal","ALR",0.0331832078266611,0.0331832078266611,0.00999853049809365
"BI_bimodal","P_system",0.0521929557610612,0.0521929557610612,0.0113681886242222
"BI_bimodal","P_feed",-0.0104977590955523,0.0290532519874112,0.0352635222189729
"BI_bimodal","mdot_L",-0.00302822070896264,0.00302822070896264,0.000627584405777034
"BI_bimodal","sigma",0,0,0
"BI_bimodal","mu_L",0,0,0
"BI_bimodal","rho_L",0.00174295231126697,0.00174295231126697,0.00048117811440117
"BI_bimodal","alpha_g_0",0.015259603388882,0.0367973237591618,0.043070050346444
"BI_bimodal","D_b",-0.0166161106484523,0.0166161106484523,0.0189838249242013
"BI_bimodal","C_solid_mass",-0.00325833022405816,0.00576176976158704,0.00914219482364761
"BI_bimodal","T_system",0,0,0
"BI_bimodal","mdot_gas_dry",0,0,0
"BI_bimodal","Y_in",0,0,0
