"output","factor","module","mu_star","sigma"
"size Dp50","P_atom_air","up2",15.4578,12.0999
"size Dp50","Delta_pH","up1",12.562,19.9285
"size Dp50","C_solid_mass","up1",12.5588,15.156
"size Dp50","ionic_strength","up1",11.5924,17.0744
"size Dp50","C_surfactant","up1",9.9368,16.5498
"size Dp50","MW_surfactant","up1",8.3934,15.6418
"size Dp50","tau_mix","up1",7.8908,8.9531
"size Dp50","v_tip","up1",7.6607,10.7257
"size Dp50","Q_gas","up1",7.6575,16.1953
"size Dp50","A_molecule","up1",5.3418,10.2123
"size Dp50","sigma","up2",5.1193,4.6228
"size Dp50","Q_template","up1",4.6834,7.4338
"size Dp50","Q_colloid","up1",4.6414,4.27
"size Dp50","T_bp_solv","up2",4.378,7.2582
"size Dp50","T_mix","up1",4.1555,6.8235
"size Dp50","ALR","up2",4.0548,2.4646
"size Dp50","P_feed","up2",3.6105,3.7911
"size Dp50","template_dose","up1",3.1906,6.3001
"size Dp50","HLB","up1",1.7094,7.8334
"size Dp50","P_mix","up1",1.7056,5.0806
"size Dp50","D_particle","up1",1.1275,2.3435
"size Dp50","mdot_L","up2",0.876,0.7523
"size Dp50","T_dryer_in","up2",0.4184,0.8213
"size Dp50","mdot_gas_dry","up2",0.3607,0.4893
"size Dp50","mu_L","up2",0.2591,0.568
"size Dp50","C_gas_diss_temp","up1",0.193,0.444
"size Dp50","C_monomer","up1",0.1161,0.1888
"size Dp50","C_plasticizer","up1",0.1121,0.2246
"size Dp50","t_hold","up2",0.0913,0.1392
"size Dp50","D_template","up1",0.0881,0.1764
"size Dp50","k_perm_bind","up2",0.0783,0.1692
"size Dp50","n_flow","up2",0.0736,0.2368
"size Dp50","D_b","up2",0.06,0.0728
"size Dp50","k_perm_plast","up2",0.057,0.144
"size Dp50","CMC","up1",0.0428,0.1476
"size Dp50","k_perm_mono","up2",0.0418,0.0748
"size Dp50","C_binder","up1",0.026,0.081
"size Dp50","Tg_polymer","up2",0.0177,0.0657
"size Dp50","Y_in","up2",0.0052,0.0193
"size Dp50","C_temp_mass","up1",0.002,0.0092
"size Dp50","D_surf","up1",1e-04,1e-04
"porosity","Delta_pH","up1",0.182,0.2223
"porosity","ionic_strength","up1",0.1771,0.2433
"porosity","v_tip","up1",0.1464,0.2178
"porosity","C_surfactant","up1",0.1218,0.2059
"porosity","C_solid_mass","up1",0.0846,0.1539
"porosity","MW_surfactant","up1",0.0629,0.138
"porosity","A_molecule","up1",0.0338,0.0992
"porosity","Q_gas","up1",0.0321,0.1031
"porosity","Q_template","up1",0.0261,0.0723
"porosity","HLB","up1",0.0111,0.0607
"porosity","Q_colloid","up1",0.01,0.0357
"porosity","P_mix","up1",0.005,0.0189
"porosity","D_particle","up1",0.0046,0.0135
"porosity","tau_mix","up1",0.0043,0.0183
"porosity","CMC","up1",0,0
"porosity","D_surf","up1",0,0
"porosity","C_monomer","up1",0,0
"porosity","C_binder","up1",0,0
"porosity","T_mix","up1",0,0
"porosity","C_gas_diss_temp","up1",0,0
"porosity","C_plasticizer","up1",0,0
"porosity","C_temp_mass","up1",0,0
"porosity","D_template","up1",0,0
"porosity","template_dose","up1",0,0
"porosity","ALR","up2",0,0
"porosity","P_atom_air","up2",0,0
