"output","factor","kind","mu","mu.star","sigma"
"up1_Mixing_Potential","C_monomer","dose:monomer",324.666011110835,324.666011110835,92.750677048072
"up1_Mixing_Potential","C_plasticizer","dose:plasticizer",389.637477239099,389.637477239099,117.377662410203
"up1_Mixing_Potential","C_binder","dose:binder",-280.785876307698,280.785876307698,109.736004854172
"up1_Mixing_Potential","template_dose","dose:solvent(amount)",0,0,0
"up1_Mixing_Potential","T_bp_solv","solvent(bp/type)",0,0,0
"up1_Mixing_Potential","k_perm_mono","material:monomer perm",0,0,0
"up1_Mixing_Potential","k_perm_plast","material:plast perm",0,0,0
"up1_Mixing_Potential","k_perm_bind","material:binder perm",0,0,0
"up1_Blended_Porosity","C_monomer","dose:monomer",5.86216590038949e-07,6.89239620845737e-06,9.39098801963818e-06
"up1_Blended_Porosity","C_plasticizer","dose:plasticizer",-1.70613178548935e-06,8.16682630998739e-06,1.03719140296706e-05
"up1_Blended_Porosity","C_binder","dose:binder",3.15276265567305e-06,8.44640869858038e-06,1.0460986729825e-05
"up1_Blended_Porosity","template_dose","dose:solvent(amount)",0,0,0
"up1_Blended_Porosity","T_bp_solv","solvent(bp/type)",0,0,0
"up1_Blended_Porosity","k_perm_mono","material:monomer perm",0,0,0
"up1_Blended_Porosity","k_perm_plast","material:plast perm",0,0,0
"up1_Blended_Porosity","k_perm_bind","material:binder perm",0,0,0
"up1_Blended_Size_um","C_monomer","dose:monomer",-2430.70196196797,2430.70196196797,238.917938655418
"up1_Blended_Size_um","C_plasticizer","dose:plasticizer",-2587.72983483666,2587.72983483666,195.692852370794
"up1_Blended_Size_um","C_binder","dose:binder",-1605.02939956918,1605.02939956918,184.178269300671
"up1_Blended_Size_um","template_dose","dose:solvent(amount)",0,0,0
"up1_Blended_Size_um","T_bp_solv","solvent(bp/type)",0,0,0
"up1_Blended_Size_um","k_perm_mono","material:monomer perm",0,0,0
"up1_Blended_Size_um","k_perm_plast","material:plast perm",0,0,0
"up1_Blended_Size_um","k_perm_bind","material:binder perm",0,0,0
"up1_Blended_WetSkin","C_monomer","dose:monomer",0.0007006238516113,0.0007006238516113,0.00035596801320258
"up1_Blended_WetSkin","C_plasticizer","dose:plasticizer",0.000703598001171772,0.000703598001171772,0.00022161637217512
"up1_Blended_WetSkin","C_binder","dose:binder",-2.10737131671902e-07,5.41136961504807e-07,8.60984988691233e-07
"up1_Blended_WetSkin","template_dose","dose:solvent(amount)",0,0,0
"up1_Blended_WetSkin","T_bp_solv","solvent(bp/type)",0,0,0
"up1_Blended_WetSkin","k_perm_mono","material:monomer perm",0,0,0
"up1_Blended_WetSkin","k_perm_plast","material:plast perm",0,0,0
"up1_Blended_WetSkin","k_perm_bind","material:binder perm",0,0,0
"up1_Template_Target_Score","C_monomer","dose:monomer",8.2572837456496e-17,7.90270626715994e-15,1.22249683874719e-14
"up1_Template_Target_Score","C_plasticizer","dose:plasticizer",-7.28583859910259e-16,5.98410210272959e-15,8.48265169418422e-15
"up1_Template_Target_Score","C_binder","dose:binder",1.99631977615411e-15,1.10793318963687e-14,1.50386896358184e-14
"up1_Template_Target_Score","template_dose","dose:solvent(amount)",0.0370692540767329,0.0941621151245004,0.100711370734283
"up1_Template_Target_Score","T_bp_solv","solvent(bp/type)",0,0,0
"up1_Template_Target_Score","k_perm_mono","material:monomer perm",0,0,0
