"output","factor","module","group","mu","mu.star","sigma"
"up1_Mixing_Potential","v_tip","up1","Process",1762.20777829098,1762.20777829098,1623.77955002545
"up1_Mixing_Potential","tau_mix","up1","Process",-971.401406314541,971.401406314541,1325.359542964
"up1_Mixing_Potential","P_mix","up1","Process",87.4474884011127,94.531176923528,212.161856521699
"up1_Mixing_Potential","T_mix","up1","Process",-1.34946625084786,1.34950518435362,5.43074066325641
"up1_Mixing_Potential","C_gas_diss_temp","up1","Process",-60.1980472598427,65.8632748621705,222.31986106931
"up1_Mixing_Potential","Q_gas","up1","Process",-305.33504561973,305.33504561973,403.77878808277
"up1_Mixing_Potential","Q_colloid","up1","Process",-411.594197791018,452.431548171755,719.004750267985
"up1_Mixing_Potential","Q_template","up1","Process",584.561224099471,584.561224099471,685.112782145538
"up1_Mixing_Potential","C_solid_mass","up1","Polymer",-1034.92487534963,1034.92487534963,1045.0579267551
"up1_Mixing_Potential","C_temp_mass","up1","Polymer",-9.478611960508e-08,1.83220796134975e-07,6.94003483265643e-07
"up1_Mixing_Potential","D_particle","up1","Polymer",-0.0123715678027175,0.0139958848033082,0.0486642710333659
"up1_Mixing_Potential","D_template","up1","Polymer",-1.8037488835887e-07,7.39780711593122e-07,2.70126301563208e-06
"up1_Mixing_Potential","C_binder","up1","Polymer",-344.123470922952,344.123470922952,313.341493038347
"up1_Mixing_Potential","C_monomer","up1","Polymer",636.363276769343,636.363276769343,979.294287914177
"up1_Mixing_Potential","C_plasticizer","up1","Polymer",464.813978499762,464.813978499762,525.366719602984
"up1_Mixing_Potential","C_surfactant","up1","Surface",-254.511439340496,270.429206038907,590.329340230142
"up1_Mixing_Potential","CMC","up1","Surface",10.854330211889,16.9405438994758,77.0897475828033
"up1_Mixing_Potential","HLB","up1","Surface",-125.853804081402,125.853804081402,230.390726230339
"up1_Mixing_Potential","MW_surfactant","up1","Surface",111.821001259085,115.975060060609,185.727450750466
"up1_Mixing_Potential","A_molecule","up1","Surface",-90.4496648635218,95.6802270372787,144.797699679981
"up1_Mixing_Potential","D_surf","up1","Surface",-0.00906408072796435,0.0125137146268252,0.0288803070533014
"up1_Mixing_Potential","ionic_strength","up1","Surface",-293.515053510768,293.515053510768,576.780975854114
"up1_Mixing_Potential","Delta_pH","up1","Surface",463.313802950564,463.313802950564,700.791029707638
"up1_Mixing_Potential","template_dose","up1","Polymer",0,0,0
"up1_Mixing_Potential","ALR","up2","Process",0,0,0
"up1_Mixing_Potential","P_atom_air","up2","Process",0,0,0
"up1_Mixing_Potential","P_feed","up2","Process",0,0,0
"up1_Mixing_Potential","mdot_L","up2","Process",0,0,0
"up1_Mixing_Potential","sigma","up2","Surface",0,0,0
"up1_Mixing_Potential","mu_L","up2","Polymer",0,0,0
"up1_Mixing_Potential","T_dryer_in","up2","Process",0,0,0
"up1_Mixing_Potential","mdot_gas_dry","up2","Process",0,0,0
"up1_Mixing_Potential","Y_in","up2","Process",0,0,0
"up1_Mixing_Potential","t_hold","up2","Process",0,0,0
"up1_Mixing_Potential","D_b","up2","Process",0,0,0
"up1_Mixing_Potential","Tg_polymer","up2","Polymer",0,0,0
"up1_Mixing_Potential","n_flow","up2","Polymer",0,0,0
"up1_Mixing_Potential","k_perm_mono","up2","Polymer",0,0,0
"up1_Mixing_Potential","k_perm_plast","up2","Polymer",0,0,0
"up1_Mixing_Potential","k_perm_bind","up2","Polymer",0,0,0
"up1_Mixing_Potential","T_bp_solv","up2","Polymer",0,0,0
"up1_Blended_Porosity","v_tip","up1","Process",-0.092065194082567,0.0956016634697969,0.130960973233669
"up1_Blended_Porosity","tau_mix","up1","Process",0.152227202044541,0.152227202044541,0.130389116230335
"up1_Blended_Porosity","P_mix","up1","Process",-0.0253377794136308,0.0273065208667347,0.0468916800467565
"up1_Blended_Porosity","T_mix","up1","Process",0.000549889754121104,0.000549902838815459,0.0027469527758168
"up1_Blended_Porosity","C_gas_diss_temp","up1","Process",0.0100574342783673,0.0109215756656515,0.0283065155567274
"up1_Blended_Porosity","Q_gas","up1","Process",0.109970865136861,0.109970865136861,0.118841438477493
"up1_Blended_Porosity","Q_colloid","up1","Process",-0.00870067825719863,0.0363584940446373,0.0679949717931621
"up1_Blended_Porosity","Q_template","up1","Process",-0.10884060759666,0.10884060759666,0.116458836837298
"up1_Blended_Porosity","C_solid_mass","up1","Polymer",0.107885262332277,0.107885262332277,0.100053729717836
"up1_Blended_Porosity","C_temp_mass","up1","Polymer",1.7725544701012e-13,6.86664311926969e-12,1.35760119142925e-11
"up1_Blended_Porosity","D_particle","up1","Polymer",1.40314557294817e-06,1.75471046213664e-06,5.44895686076055e-06
"up1_Blended_Porosity","D_template","up1","Polymer",5.45532349943296e-11,1.00851500736369e-10,3.17725866179643e-10
"up1_Blended_Porosity","C_binder","up1","Polymer",-9.42279023338698e-05,9.87748686402156e-05,0.00031228491897083
"up1_Blended_Porosity","C_monomer","up1","Polymer",2.66911670781019e-05,2.77267302399727e-05,0.00014762310512362
