"output","factor","module","group","mu","mu.star","sigma","sigma_mu_ratio","interaction_type"
"up1_Mixing_Potential","v_tip","up1","Process",2068.68938268368,2068.68938268368,1480.45883657736,0.715650618681466,"Complex"
"up1_Mixing_Potential","tau_mix","up1","Process",-1192.84919576066,1192.84919576066,1224.58152273128,1.02660212798348,"Volatile"
"up1_Mixing_Potential","P_mix","up1","Process",8.86340342994513,8.88462334041632,21.7970927158688,2.45335023002195,"Volatile"
"up1_Mixing_Potential","T_mix","up1","Process",-0.0719512842971476,0.0720476425213062,0.228134919042846,3.16644530007184,"Volatile"
"up1_Mixing_Potential","C_gas_diss_temp","up1","Process",-0.853378345465707,0.856408156554991,4.67863284883643,5.46308767966062,"Volatile"
"up1_Mixing_Potential","Q_gas","up1","Process",-377.706457776689,377.706457776689,443.487996166841,1.17416048107137,"Volatile"
"up1_Mixing_Potential","Q_colloid","up1","Process",-445.190359727008,524.30638635222,691.941951214894,1.31972825284272,"Volatile"
"up1_Mixing_Potential","Q_template","up1","Process",722.244201391345,722.244201391345,554.023516894625,0.767086140431925,"Complex"
"up1_Mixing_Potential","C_solid_mass","up1","Polymer",-1523.59043453703,1523.59043453703,1584.28672213542,1.03983766648997,"Volatile"
"up1_Mixing_Potential","C_temp_mass","up1","Polymer",0.00150088122887553,0.00150209816396985,0.00822290389759193,5.47427864225588,"Volatile"
"up1_Mixing_Potential","D_particle","up1","Polymer",0.00572446089000067,0.0101816325933951,0.0247810552452222,2.43389800387199,"Volatile"
"up1_Mixing_Potential","D_template","up1","Polymer",-2.44561721654435e-05,3.52156549670468e-05,0.000165485966768178,4.69921592891095,"Volatile"
"up1_Mixing_Potential","C_binder","up1","Polymer",-545.693045574253,545.693045574253,630.87732205877,1.15610291752,"Volatile"
"up1_Mixing_Potential","C_monomer","up1","Polymer",769.852214609276,769.852214609276,994.993361781854,1.29244722935147,"Volatile"
"up1_Mixing_Potential","C_plasticizer","up1","Polymer",1150.17132617487,1150.17132617487,1192.45358013946,1.03676170062874,"Volatile"
"up1_Mixing_Potential","C_surfactant","up1","Surface",-377.499671921662,378.869022179319,737.937565871665,1.94773793229893,"Volatile"
"up1_Mixing_Potential","CMC","up1","Surface",9.66044523171266,19.3799430520838,54.2310619610866,2.79830863358783,"Volatile"
"up1_Mixing_Potential","HLB","up1","Surface",-97.7743352830387,97.7743352830387,97.3683715047361,0.995847951539354,"Complex"
"up1_Mixing_Potential","MW_surfactant","up1","Surface",175.499988916667,223.463016078522,543.200287057529,2.43082858447885,"Volatile"
"up1_Mixing_Potential","A_molecule","up1","Surface",-291.772730828499,381.92179223231,995.574412973978,2.60674942677375,"Volatile"
"up1_Mixing_Potential","D_surf","up1","Surface",-0.00236713600095081,0.00403048858094799,0.00864386197952341,2.14461889816106,"Volatile"
"up1_Mixing_Potential","ionic_strength","up1","Surface",-432.261417737241,432.261417737241,601.080245476426,1.39054798973941,"Volatile"
"up1_Mixing_Potential","Delta_pH","up1","Surface",416.064804398814,416.064804398814,497.199889954596,1.19500588537648,"Volatile"
"up1_Mixing_Potential","template_dose","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","chi_template","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","ALR","up2","Process",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","P_atom_air","up2","Process",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","P_feed","up2","Process",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","mdot_L","up2","Process",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","sigma","up2","Surface",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","mu_L","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","T_dryer_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Mixing_Potential","mdot_gas_dry","up2","Process",0,0,0,0,"No_interaction"
